Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,Active,A ,1.00,INE935A01035,Pharmaceuticals,Equity
532300,WOCKPHARMA,WOCKHARDT LTD.,Active,A ,5.00,INE049B01025,Pharmaceuticals,Equity
532301,TATACOFFEE,TATA COFFEE LTD.,Active,B ,1.00,INE493A01027,Tea &amp; Coffee,Equity
532304,KJMCCORP,KJMC Corporate Advisors (India) Ltd.,Active,XD,10.00,INE602C01011,Other Financial Services,Equity
532305,INDSWFTLAB,IND-SWIFT LABORATORIES LTD.,Active,B ,10.00,INE915B01019,Pharmaceuticals,Equity
532307,MELSTAR,MELSTAR INFORMATION TECHNOLOGIES LTD.,Active,B ,10.00,INE817A01019,IT Software Products,Equity
532309,AIL,ALSTOM India Ltd,Active,B ,10.00,INE878A01011,Heavy Electrical Equipment,Equity
532310,SHREERAMA,SHREE RAMA MULTI-TECH LTD.,Active,T ,5.00,INE879A01019,Containers &amp; Packaging,Equity
532312,GEOMETRIC,GEOMETRIC LTD.,Active,B ,2.00,INE797A01021,IT Consulting &amp; Software,Equity
532313,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LTD.,Active,B ,10.00,INE813A01018,Realty,Equity
